Name;Photo;Ingredients;Total calories [kcal/100g]
margherita;https://primochef.it/wp-content/uploads/2019/08/SH_pizza_fatta_in_casa-1200x800.jpg;tomato sauce, mozzarella;327
prosciutto cotto;https://media-cdn.tripadvisor.com/media/photo-s/0c/e5/5d/82/pizza-margherita-con.jpg;tomato sauce, mozzarella, ham steak;465
wurstel;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSmXavrqDerEpY_nywsXDthEfaLPFQwwwhxg&usqp=CAU;tomato sauce, mozzarella, wurstel;586
diavola;https://www.ristorantepizzeriajanna.com/wp-content/uploads/2017/09/pizza_diavola.jpg;tomato sauce, mozzarella, spicy salami;684
napoletana;https://media-cdn.tripadvisor.com/media/photo-s/10/e4/2c/02/marinara-con-pomodorino.jpg;tomato sauce, mozzarella, anchovy, black olives;776
crudo;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT75M4xg0nOk18ZXYKRHhKc6vQCtYuv_xhqcQ&usqp=CAU;tomato sauce, mozzarella, Parma dry cured ham;596
prosciutto e funghi;https://www.petitchef.it/imgupl/recipe/pizza-al-prosciutto-e-funghi--md-450187p695927.jpg;tomato sauce, mozzarella, ham steak, champignon mushrooms;487
tonno e cipolla;https://saporilucani.com/wp-content/uploads/2016/04/pizza-con-cipolle-e-tonno-saporilucani.jpg;tomato sauce, mozzarella, tuna, onion;553
principessa;https://media-cdn.tripadvisor.com/media/photo-s/0b/b1/78/72/risto-braceria-pizzeria.jpg;tomato sauce, mozzarella, dry cured ham, cream;785
capricciosa;https://i2.wp.com/www.piccolericette.net/piccolericette/wp-content/uploads/2017/12/3240_Pizza.jpg?resize=895%2C616&ssl=1;tomato sauce, mozzarella, mushrooms, caper, artichokes, ham steak, olives, oregano;992,4
4 stagioni;https://d1e3z2jco40k3v.cloudfront.net/-/media/drog19/recipe-images/pizza_di_kamut_al_pepe_4_stagioni_800.jpg?rev=87b331f64a744ac3afbbf8fedd113530&vd=20200707T052010Z&hash=1EB83EB8EF26495E498302E32ACA404A;tomato sauce, mozzarella, ham steak, salami,mushrooms, artichokes, olives;1078
4 formaggi;https://wips.plug.it/cips/buonissimo.org/cms/2012/12/10798952_l.jpg;tomato sauce, mozzarella, gorgonzola cheese, parmesan, fontina ;1443
dolce forno;https://1.bp.blogspot.com/-itW4etC6vtE/WKtIEfRct3I/AAAAAAAAf1I/pKI00T3U3tUpccexes9PCJj2l7UQXYkWQCEw/s1600/20170120_193914.jpg;tomato sauce, mozzarella, salami, spicy salami, mushrooms, caper;1138,4
fumè;https://media-cdn.tripadvisor.com/media/photo-s/09/d0/e6/c8/pizza-fume.jpg;tomato sauce, mozzarella, smoked scamorza, speck;961
salsiccia e funghi;https://assets.wsimgs.com/wsimgs/ab/images/dp/recipe/202118/0043/img17l.jpg;tomato sauce, mozzarella, fresh sausage, chiodini mushrooms;668
stracciatella e radicchio;https://i.pinimg.com/originals/b6/fd/cb/b6fdcb3ee2f194c662e1ce0b2f4819f2.jpg;tomato sauce, mozzarella, radicchio, cooked stracciatella;616
calabrese;https://www.gustidelsole.it/blog/wp-content/uploads/2019/06/10-pizza-nduja-640x435.png;tomato sauce, mozzarella, nduja, spicy fresh sausage, black olives;1351
martinese;https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.iltroncopizzeria.it%2Fmartinese%2F&psig=AOvVaw0aYY4knXPnp_CE8gS4d-pw&ust=1621426722658000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCLCRprWb0_ACFQAAAAAdAAAAABAJ;tomato sauce, mozzarella, capocollo, stracciatella, taggiasca olives;1464
bufalina;https://www.petitchef.it/imgupl/recipe/pizza-margherita-con-mozzarella-di-bufala--md-457932p714660.jpg;tomato sauce, buffalo mozzarella, basil;404
cardoncelli;https://www.profumodibasilico.it/wp-content/uploads/2016/11/160726-Pizza-funghi-pomodorini-1500x1000.jpg;tomato sauce, mozzarella, cardoncelli mushrooms, taggiasca olives;715
